subject,rating,spoonsize,spoonweight,feature
1,7,teaspoon,light,density
2,5,teaspoon,light,density
3,5,teaspoon,light,density
4,2,teaspoon,light,density
5,5,teaspoon,light,density
6,4,teaspoon,light,density
7,6,teaspoon,light,density
8,7,teaspoon,light,density
9,4,teaspoon,light,density
10,6,teaspoon,light,density
11,6,teaspoon,light,density
12,6,teaspoon,light,density
13,6,teaspoon,light,density
14,8,teaspoon,light,density
15,8,teaspoon,light,density
16,6,teaspoon,light,density
17,7,teaspoon,light,density
18,7,teaspoon,light,density
19,5,teaspoon,light,density
20,6,teaspoon,light,density
21,4,teaspoon,light,density
22,4,teaspoon,light,density
23,7,teaspoon,light,density
24,7,teaspoon,light,density
25,2,teaspoon,light,density
26,9,teaspoon,light,density
27,7,teaspoon,light,density
28,8,teaspoon,light,density
29,7,teaspoon,light,density
30,5,teaspoon,light,density
31,4,teaspoon,light,density
32,9,teaspoon,light,density
33,8,teaspoon,light,density
34,7,teaspoon,light,density
35,8,teaspoon,light,density
1,7,teaspoon,heavy,density
2,7,teaspoon,heavy,density
3,5,teaspoon,heavy,density
4,3,teaspoon,heavy,density
5,5,teaspoon,heavy,density
6,6,teaspoon,heavy,density
7,6,teaspoon,heavy,density
8,3,teaspoon,heavy,density
9,2,teaspoon,heavy,density
10,6,teaspoon,heavy,density
11,6,teaspoon,heavy,density
12,4,teaspoon,heavy,density
13,4,teaspoon,heavy,density
14,8,teaspoon,heavy,density
15,7,teaspoon,heavy,density
16,6,teaspoon,heavy,density
17,5,teaspoon,heavy,density
18,6,teaspoon,heavy,density
19,5,teaspoon,heavy,density
20,5,teaspoon,heavy,density
21,7,teaspoon,heavy,density
22,4,teaspoon,heavy,density
23,6,teaspoon,heavy,density
24,8,teaspoon,heavy,density
25,4,teaspoon,heavy,density
26,8,teaspoon,heavy,density
27,6,teaspoon,heavy,density
28,8,teaspoon,heavy,density
29,5,teaspoon,heavy,density
30,6,teaspoon,heavy,density
31,7,teaspoon,heavy,density
32,5,teaspoon,heavy,density
33,2,teaspoon,heavy,density
34,4,teaspoon,heavy,density
35,4,teaspoon,heavy,density
1,7,tablespoon,light,density
2,9,tablespoon,light,density
3,4,tablespoon,light,density
4,3,tablespoon,light,density
5,5,tablespoon,light,density
6,5,tablespoon,light,density
7,3,tablespoon,light,density
8,7,tablespoon,light,density
9,4,tablespoon,light,density
10,6,tablespoon,light,density
11,6,tablespoon,light,density
12,2,tablespoon,light,density
13,7,tablespoon,light,density
14,8,tablespoon,light,density
15,8,tablespoon,light,density
16,6,tablespoon,light,density
17,4,tablespoon,light,density
18,6,tablespoon,light,density
19,6,tablespoon,light,density
20,8,tablespoon,light,density
21,3,tablespoon,light,density
22,5,tablespoon,light,density
23,6,tablespoon,light,density
24,8,tablespoon,light,density
25,7,tablespoon,light,density
26,8,tablespoon,light,density
27,7,tablespoon,light,density
28,8,tablespoon,light,density
29,7,tablespoon,light,density
30,5,tablespoon,light,density
31,4,tablespoon,light,density
32,5,tablespoon,light,density
33,6,tablespoon,light,density
34,4,tablespoon,light,density
35,5,tablespoon,light,density
1,7,tablespoon,heavy,density
2,9,tablespoon,heavy,density
3,3,tablespoon,heavy,density
4,3,tablespoon,heavy,density
5,4,tablespoon,heavy,density
6,5,tablespoon,heavy,density
7,6,tablespoon,heavy,density
8,6,tablespoon,heavy,density
9,6,tablespoon,heavy,density
10,6,tablespoon,heavy,density
11,4,tablespoon,heavy,density
12,3,tablespoon,heavy,density
13,6,tablespoon,heavy,density
14,8,tablespoon,heavy,density
15,8,tablespoon,heavy,density
16,6,tablespoon,heavy,density
17,5,tablespoon,heavy,density
18,6,tablespoon,heavy,density
19,5,tablespoon,heavy,density
20,6,tablespoon,heavy,density
21,6,tablespoon,heavy,density
22,4,tablespoon,heavy,density
23,5,tablespoon,heavy,density
24,7,tablespoon,heavy,density
25,3,tablespoon,heavy,density
26,7,tablespoon,heavy,density
27,6,tablespoon,heavy,density
28,8,tablespoon,heavy,density
29,4,tablespoon,heavy,density
30,6,tablespoon,heavy,density
31,4,tablespoon,heavy,density
32,8,tablespoon,heavy,density
33,7,tablespoon,heavy,density
34,3,tablespoon,heavy,density
35,4,tablespoon,heavy,density
